✅ Loaded: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_128_12000_iters/gan_step_002500.pt
▶️ Resume: step 2501 -> 11999
step 2510 | loss_D 1.2668 | loss_G 0.7779 | D(real) +0.051 | D(fake) -0.241
step 8090 | loss_D 0.8844 | loss_G 1.3100 | D(real) +0.318 | D(fake) -0.983
step 8100 | loss_D 1.1786 | loss_G 0.7963 | D(real) +0.080 | D(fake) -0.632
step 8110 | loss_D 1.2044 | loss_G 1.3943 | D(real) +0.008 | D(fake) -0.605
step 8120 | loss_D 0.7034 | loss_G 1.3538 | D(real) +1.031 | D(fake) -1.230
step 8130 | loss_D 0.8815 | loss_G 1.2108 | D(real) +0.396 | D(fake) -0.951
step 8140 | loss_D 1.4858 | loss_G 1.0157 | D(real) -0.250 | D(fake) -1.012
step 8150 | loss_D 1.0992 | loss_G 1.3474 | D(real) +0.828 | D(fake) -0.145
step 8160 | loss_D 1.1279 | loss_G 1.5081 | D(real) -0.166 | D(fake) -1.655
step 8170 | loss_D 0.7805 | loss_G 1.0803 | D(real) +1.216 | D(fake) -0.766
step 8180 | loss_D 0.8049 | loss_G 0.9549 | D(real) +1.215 | D(fake) -0.476
step 8190 | loss_D 0.9224 | loss_G 1.0813 | D(real) +1.626 | D(fake) -0.367
step 8200 | loss_D 0.7076 | loss_G 1.1615 | D(real) +2.045 | D(fake) -0.497
step 8210 | loss_D 1.2745 | loss_G 1.2061 | D(real) -0.225 | D(fake) -1.321
step 8220 | loss_D 1.1535 | loss_G 1.1480 | D(real) +0.346 | D(fake) -0.243
step 8230 | loss_D 0.5659 | loss_G 2.1030 | D(real) +0.980 | D(fake) -2.000
step 8240 | loss_D 1.1642 | loss_G 0.8461 | D(real) +0.686 | D(fake) -0.062
step 8250 | loss_D 1.1661 | loss_G 0.9089 | D(real) +0.279 | D(fake) -0.323
step 8260 | loss_D 0.9228 | loss_G 1.2204 | D(real) +0.670 | D(fake) -0.583
step 8270 | loss_D 1.4663 | loss_G 0.7706 | D(real) -0.642 | D(fake) -0.793
step 8280 | loss_D 0.7143 | loss_G 1.0084 | D(real) +0.808 | D(fake) -1.013
step 8290 | loss_D 0.8681 | loss_G 1.3750 | D(real) +1.397 | D(fake) -0.366
step 8300 | loss_D 1.2097 | loss_G 1.0814 | D(real) +0.018 | D(fake) -0.495
step 8310 | loss_D 0.8503 | loss_G 1.3278 | D(real) +1.001 | D(fake) -1.146
step 8320 | loss_D 0.6184 | loss_G 1.3316 | D(real) +1.432 | D(fake) -0.749
step 8330 | loss_D 0.8207 | loss_G 1.0693 | D(real) +2.045 | D(fake) -0.159
step 8340 | loss_D 0.7684 | loss_G 1.7700 | D(real) +1.069 | D(fake) -0.679
step 8350 | loss_D 1.0568 | loss_G 1.4393 | D(real) +0.401 | D(fake) -0.451
step 8360 | loss_D 1.1775 | loss_G 1.1849 | D(real) -0.128 | D(fake) -0.831
step 8370 | loss_D 1.0462 | loss_G 1.2242 | D(real) +0.676 | D(fake) -0.406
step 8380 | loss_D 1.2885 | loss_G 1.3592 | D(real) -0.117 | D(fake) -0.533
step 8390 | loss_D 1.0156 | loss_G 1.3670 | D(real) +1.293 | D(fake) +0.005
step 8400 | loss_D 1.4587 | loss_G 0.8685 | D(real) -0.008 | D(fake) -0.197
step 8410 | loss_D 0.9591 | loss_G 0.7657 | D(real) +0.587 | D(fake) -0.526
step 8420 | loss_D 1.0377 | loss_G 1.3346 | D(real) +0.474 | D(fake) -0.617
step 8430 | loss_D 0.7238 | loss_G 0.7548 | D(real) +1.803 | D(fake) -0.429
step 8440 | loss_D 1.2006 | loss_G 1.4683 | D(real) +0.430 | D(fake) -0.256
step 8450 | loss_D 1.1859 | loss_G 0.9224 | D(real) +1.305 | D(fake) +0.159
step 8460 | loss_D 0.8317 | loss_G 1.2279 | D(real) +0.935 | D(fake) -0.802
step 8470 | loss_D 1.3186 | loss_G 1.0833 | D(real) -0.005 | D(fake) -0.501
step 8480 | loss_D 1.3284 | loss_G 1.0042 | D(real) -0.188 | D(fake) -0.406
step 8490 | loss_D 0.4401 | loss_G 1.4694 | D(real) +2.531 | D(fake) -0.908
step 8500 | loss_D 1.2700 | loss_G 1.1565 | D(real) +0.703 | D(fake) +0.089
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_008500.pt
step 8510 | loss_D 1.0938 | loss_G 1.3656 | D(real) +0.271 | D(fake) -0.499
step 8520 | loss_D 1.2832 | loss_G 0.9349 | D(real) -0.334 | D(fake) -0.861
step 8530 | loss_D 1.1646 | loss_G 1.0407 | D(real) +0.489 | D(fake) -0.511
step 8540 | loss_D 1.2337 | loss_G 1.5556 | D(real) -0.302 | D(fake) -0.978
step 8550 | loss_D 0.9322 | loss_G 0.9305 | D(real) +1.300 | D(fake) -0.169
step 8560 | loss_D 1.0480 | loss_G 1.0122 | D(real) +1.142 | D(fake) +0.026
step 8570 | loss_D 0.7360 | loss_G 1.2800 | D(real) +1.081 | D(fake) -0.834
step 8580 | loss_D 1.5655 | loss_G 1.0008 | D(real) -0.759 | D(fake) -0.870
step 8590 | loss_D 1.1523 | loss_G 0.7552 | D(real) +0.196 | D(fake) -0.703
step 8600 | loss_D 1.0635 | loss_G 0.8576 | D(real) +0.185 | D(fake) -0.637
step 8610 | loss_D 1.2081 | loss_G 1.2864 | D(real) +0.596 | D(fake) +0.015
step 8620 | loss_D 1.5442 | loss_G 0.9357 | D(real) -0.688 | D(fake) -0.743
step 8630 | loss_D 0.7466 | loss_G 1.2489 | D(real) +1.556 | D(fake) -0.654
step 8640 | loss_D 1.1436 | loss_G 1.4098 | D(real) +0.734 | D(fake) -0.554
step 8650 | loss_D 0.4619 | loss_G 2.3441 | D(real) +2.766 | D(fake) -1.013
step 8660 | loss_D 0.8727 | loss_G 1.4322 | D(real) +1.200 | D(fake) -0.273
step 8670 | loss_D 0.8764 | loss_G 1.0778 | D(real) +0.775 | D(fake) -0.556
step 8680 | loss_D 1.5625 | loss_G 0.8885 | D(real) +0.023 | D(fake) +0.021
step 8690 | loss_D 1.4588 | loss_G 0.6224 | D(real) -0.165 | D(fake) -0.244
step 8700 | loss_D 0.9858 | loss_G 1.4273 | D(real) +0.812 | D(fake) -0.204
step 8710 | loss_D 1.5762 | loss_G 0.6717 | D(real) -0.706 | D(fake) -0.567
step 8720 | loss_D 1.3783 | loss_G 0.9259 | D(real) -0.365 | D(fake) -0.938
step 8730 | loss_D 1.0670 | loss_G 1.1521 | D(real) +0.401 | D(fake) -0.909
step 8740 | loss_D 0.8020 | loss_G 1.0089 | D(real) +0.702 | D(fake) -0.932
step 8750 | loss_D 1.2236 | loss_G 1.1412 | D(real) -0.464 | D(fake) -1.281
step 8760 | loss_D 0.6605 | loss_G 1.9185 | D(real) +1.374 | D(fake) -0.867
step 8770 | loss_D 1.3923 | loss_G 1.0341 | D(real) +0.165 | D(fake) +0.095
step 8780 | loss_D 0.5702 | loss_G 1.8260 | D(real) +1.411 | D(fake) -1.170
step 8790 | loss_D 1.1854 | loss_G 1.2546 | D(real) +0.451 | D(fake) -0.527
step 8800 | loss_D 0.6000 | loss_G 1.9081 | D(real) +2.027 | D(fake) -0.536
step 8810 | loss_D 1.1211 | loss_G 0.9915 | D(real) +0.186 | D(fake) -0.936
step 8820 | loss_D 1.2344 | loss_G 1.2025 | D(real) -0.083 | D(fake) -0.641
step 8830 | loss_D 0.8904 | loss_G 1.4532 | D(real) +0.995 | D(fake) -0.908
step 8840 | loss_D 0.6206 | loss_G 0.9182 | D(real) +1.840 | D(fake) -0.616
step 8850 | loss_D 1.0290 | loss_G 0.9755 | D(real) +0.491 | D(fake) -0.498
step 8860 | loss_D 0.9794 | loss_G 1.5424 | D(real) +0.808 | D(fake) -0.601
step 8870 | loss_D 0.4693 | loss_G 1.4971 | D(real) +2.662 | D(fake) -0.768
step 8880 | loss_D 1.0707 | loss_G 1.8777 | D(real) +0.951 | D(fake) -0.204
step 8890 | loss_D 0.9199 | loss_G 1.2616 | D(real) +0.419 | D(fake) -0.935
step 8900 | loss_D 1.5173 | loss_G 1.1467 | D(real) -0.454 | D(fake) -0.494
step 8910 | loss_D 0.9020 | loss_G 0.8428 | D(real) +0.470 | D(fake) -0.720
step 8920 | loss_D 1.2731 | loss_G 0.8340 | D(real) +0.010 | D(fake) -0.469
step 8930 | loss_D 1.0799 | loss_G 1.1207 | D(real) +0.285 | D(fake) -0.587
step 8940 | loss_D 1.2622 | loss_G 0.8373 | D(real) +0.223 | D(fake) -0.155
step 8950 | loss_D 1.1892 | loss_G 1.3165 | D(real) +0.223 | D(fake) -0.573
step 8960 | loss_D 1.1554 | loss_G 1.3510 | D(real) +0.300 | D(fake) -0.273
step 8970 | loss_D 1.7848 | loss_G 0.7218 | D(real) -0.993 | D(fake) -1.020
step 8980 | loss_D 1.0275 | loss_G 1.2672 | D(real) +0.749 | D(fake) -0.598
step 8990 | loss_D 1.3514 | loss_G 0.8525 | D(real) -0.253 | D(fake) -0.603
step 9000 | loss_D 1.0239 | loss_G 1.0082 | D(real) +0.119 | D(fake) -0.787
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_009000.pt
step 9010 | loss_D 0.8021 | loss_G 1.3378 | D(real) +1.687 | D(fake) -0.439
step 9020 | loss_D 1.0799 | loss_G 1.0322 | D(real) +0.183 | D(fake) -0.757
step 9030 | loss_D 1.0326 | loss_G 0.9823 | D(real) +1.266 | D(fake) -0.199
step 9040 | loss_D 1.0477 | loss_G 0.6727 | D(real) +0.446 | D(fake) -0.581
step 9050 | loss_D 0.4655 | loss_G 1.8565 | D(real) +1.690 | D(fake) -1.287
step 9060 | loss_D 0.4929 | loss_G 1.9863 | D(real) +1.728 | D(fake) -1.188
step 9070 | loss_D 1.2708 | loss_G 1.4930 | D(real) -0.296 | D(fake) -1.316
step 9080 | loss_D 0.9990 | loss_G 0.9376 | D(real) +0.797 | D(fake) -0.262
step 9090 | loss_D 1.0507 | loss_G 1.3931 | D(real) +0.282 | D(fake) -0.590
step 9100 | loss_D 0.9245 | loss_G 0.6692 | D(real) +0.365 | D(fake) -0.757
step 9110 | loss_D 1.0889 | loss_G 0.8106 | D(real) +0.056 | D(fake) -0.829
step 9120 | loss_D 0.6739 | loss_G 1.2031 | D(real) +1.538 | D(fake) -0.629
step 9130 | loss_D 1.3017 | loss_G 0.9972 | D(real) +0.219 | D(fake) -0.139
step 9140 | loss_D 1.1295 | loss_G 1.2089 | D(real) -0.093 | D(fake) -1.558
step 9150 | loss_D 1.1998 | loss_G 1.0674 | D(real) -0.027 | D(fake) -0.512
step 9160 | loss_D 1.1469 | loss_G 0.8059 | D(real) -0.033 | D(fake) -0.631
step 9170 | loss_D 1.4626 | loss_G 0.8345 | D(real) -0.211 | D(fake) -0.243
step 9180 | loss_D 1.0187 | loss_G 1.0983 | D(real) +0.313 | D(fake) -0.722
step 9190 | loss_D 0.9487 | loss_G 1.0025 | D(real) +0.637 | D(fake) -0.555
step 9200 | loss_D 0.7627 | loss_G 0.9073 | D(real) +1.841 | D(fake) -0.580
step 9210 | loss_D 1.0468 | loss_G 1.2543 | D(real) +1.307 | D(fake) -0.788
step 9220 | loss_D 0.7980 | loss_G 0.9574 | D(real) +1.717 | D(fake) -0.450
step 9230 | loss_D 1.3322 | loss_G 1.2683 | D(real) -0.353 | D(fake) -0.677
step 9240 | loss_D 1.1647 | loss_G 2.0895 | D(real) +0.678 | D(fake) -0.319
step 9250 | loss_D 0.7736 | loss_G 1.8712 | D(real) +0.994 | D(fake) -1.241
step 9260 | loss_D 0.6752 | loss_G 1.7571 | D(real) +1.660 | D(fake) -0.466
step 9270 | loss_D 1.3367 | loss_G 1.1392 | D(real) -0.424 | D(fake) -0.953
step 9280 | loss_D 1.0094 | loss_G 0.7963 | D(real) +0.801 | D(fake) -0.266
step 9290 | loss_D 0.8897 | loss_G 0.9383 | D(real) +0.256 | D(fake) -1.116
step 9300 | loss_D 0.9191 | loss_G 1.0075 | D(real) +0.925 | D(fake) -0.424
step 9310 | loss_D 1.0824 | loss_G 1.2682 | D(real) +1.295 | D(fake) +0.092
step 9320 | loss_D 1.0937 | loss_G 0.9796 | D(real) +1.025 | D(fake) +0.143
step 9330 | loss_D 1.0095 | loss_G 0.9326 | D(real) +0.453 | D(fake) -0.514
step 9340 | loss_D 1.3488 | loss_G 1.4548 | D(real) -0.104 | D(fake) -0.342
step 9350 | loss_D 1.4131 | loss_G 1.3221 | D(real) -0.255 | D(fake) -0.866
step 9360 | loss_D 0.7549 | loss_G 1.1900 | D(real) +0.974 | D(fake) -0.741
step 9370 | loss_D 1.1445 | loss_G 0.7259 | D(real) +0.771 | D(fake) -0.092
step 9380 | loss_D 0.8913 | loss_G 0.8675 | D(real) +0.911 | D(fake) -0.515
step 9390 | loss_D 0.8171 | loss_G 1.2194 | D(real) +1.165 | D(fake) -0.732
step 9400 | loss_D 0.7600 | loss_G 0.9758 | D(real) +1.121 | D(fake) -0.606
step 9410 | loss_D 1.2242 | loss_G 0.9415 | D(real) +0.052 | D(fake) -0.513
step 9420 | loss_D 1.0133 | loss_G 1.4933 | D(real) +0.758 | D(fake) -0.319
step 9430 | loss_D 1.4286 | loss_G 1.3903 | D(real) +1.361 | D(fake) +0.474
step 9440 | loss_D 0.7255 | loss_G 1.3883 | D(real) +0.665 | D(fake) -1.134
step 9450 | loss_D 0.9400 | loss_G 0.8592 | D(real) +1.681 | D(fake) +0.002
step 9460 | loss_D 1.0044 | loss_G 1.2932 | D(real) +0.777 | D(fake) -0.349
step 9470 | loss_D 0.7521 | loss_G 1.0857 | D(real) +0.995 | D(fake) -0.734
step 9480 | loss_D 1.0641 | loss_G 1.2302 | D(real) +0.488 | D(fake) -0.508
step 9490 | loss_D 1.2692 | loss_G 0.9426 | D(real) +0.008 | D(fake) -0.544
step 9500 | loss_D 0.7243 | loss_G 1.8081 | D(real) +1.157 | D(fake) -0.948
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_009500.pt
step 9510 | loss_D 1.8601 | loss_G 1.1448 | D(real) -0.544 | D(fake) -0.274
step 9520 | loss_D 1.0363 | loss_G 1.2049 | D(real) +0.904 | D(fake) -0.380
step 9530 | loss_D 0.8232 | loss_G 0.9775 | D(real) +0.380 | D(fake) -1.395
step 9540 | loss_D 1.2436 | loss_G 0.7431 | D(real) +2.199 | D(fake) +0.605
step 9550 | loss_D 0.8507 | loss_G 1.1180 | D(real) +0.395 | D(fake) -1.077
step 9560 | loss_D 0.9253 | loss_G 1.1718 | D(real) +0.750 | D(fake) -0.472
step 9570 | loss_D 0.9419 | loss_G 1.4258 | D(real) +1.420 | D(fake) -0.479
step 9580 | loss_D 1.3579 | loss_G 1.2101 | D(real) +0.216 | D(fake) -0.244
step 9590 | loss_D 0.6818 | loss_G 1.0719 | D(real) +1.273 | D(fake) -0.828
step 9600 | loss_D 1.1996 | loss_G 0.8125 | D(real) +0.589 | D(fake) +0.019
step 9610 | loss_D 1.0609 | loss_G 1.2304 | D(real) +0.516 | D(fake) -0.450
step 9620 | loss_D 1.2587 | loss_G 1.1129 | D(real) +0.433 | D(fake) +0.018
step 9630 | loss_D 0.7748 | loss_G 1.8891 | D(real) +1.180 | D(fake) -0.905
step 9640 | loss_D 0.6008 | loss_G 1.6984 | D(real) +1.278 | D(fake) -1.031
step 9650 | loss_D 1.2899 | loss_G 0.9620 | D(real) +0.202 | D(fake) -0.434
step 9660 | loss_D 0.8743 | loss_G 1.0750 | D(real) +1.330 | D(fake) -0.253
step 9670 | loss_D 1.1294 | loss_G 0.8026 | D(real) +0.433 | D(fake) -0.229
step 9680 | loss_D 0.9425 | loss_G 0.6292 | D(real) +0.286 | D(fake) -0.803
step 9690 | loss_D 0.9268 | loss_G 1.3199 | D(real) +0.497 | D(fake) -0.645
step 9700 | loss_D 0.7526 | loss_G 1.2325 | D(real) +0.603 | D(fake) -1.096
step 9710 | loss_D 1.0721 | loss_G 0.9808 | D(real) -0.061 | D(fake) -1.107
step 9720 | loss_D 1.2123 | loss_G 0.8848 | D(real) +0.238 | D(fake) -0.434
step 9730 | loss_D 0.9607 | loss_G 1.3838 | D(real) +0.272 | D(fake) -1.276
step 9740 | loss_D 1.1424 | loss_G 0.5864 | D(real) -0.088 | D(fake) -1.035
step 9750 | loss_D 0.9245 | loss_G 1.1463 | D(real) +0.738 | D(fake) -0.532
step 9760 | loss_D 0.7321 | loss_G 1.3067 | D(real) +0.589 | D(fake) -1.318
step 9770 | loss_D 0.9701 | loss_G 1.4017 | D(real) +1.079 | D(fake) -0.157
step 9780 | loss_D 0.9100 | loss_G 0.9270 | D(real) +1.101 | D(fake) -0.484
step 9790 | loss_D 1.3544 | loss_G 1.1901 | D(real) -0.294 | D(fake) -0.492
step 9800 | loss_D 0.8890 | loss_G 1.4975 | D(real) +1.471 | D(fake) -0.628
step 9810 | loss_D 1.0130 | loss_G 0.9129 | D(real) +0.591 | D(fake) -0.552
step 9820 | loss_D 0.7789 | loss_G 1.2407 | D(real) +0.745 | D(fake) -1.119
step 9830 | loss_D 0.9214 | loss_G 1.2624 | D(real) +0.739 | D(fake) -0.583
step 9840 | loss_D 1.1772 | loss_G 2.1279 | D(real) +1.449 | D(fake) -0.271
step 9850 | loss_D 1.5024 | loss_G 1.0569 | D(real) +0.293 | D(fake) -0.027
step 9860 | loss_D 1.1264 | loss_G 0.8729 | D(real) +0.736 | D(fake) -0.035
step 9870 | loss_D 1.5189 | loss_G 0.8541 | D(real) -0.495 | D(fake) -0.387
step 9880 | loss_D 0.8519 | loss_G 1.0110 | D(real) +1.121 | D(fake) -0.554
step 9890 | loss_D 1.1745 | loss_G 0.8217 | D(real) +0.009 | D(fake) -0.593
step 9900 | loss_D 1.0140 | loss_G 1.1799 | D(real) +0.557 | D(fake) -0.571
step 9910 | loss_D 1.1415 | loss_G 1.1476 | D(real) +0.713 | D(fake) -0.132
step 9920 | loss_D 1.1686 | loss_G 1.3285 | D(real) +0.683 | D(fake) -0.160
step 9930 | loss_D 1.1120 | loss_G 1.0205 | D(real) +0.126 | D(fake) -0.612
step 9940 | loss_D 0.8036 | loss_G 0.9280 | D(real) +0.700 | D(fake) -0.987
step 9950 | loss_D 1.2978 | loss_G 0.9027 | D(real) +0.394 | D(fake) -0.389
step 9960 | loss_D 0.9396 | loss_G 1.0422 | D(real) +0.604 | D(fake) -0.473
step 9970 | loss_D 0.8966 | loss_G 1.1751 | D(real) +0.817 | D(fake) -0.490
step 9980 | loss_D 1.0229 | loss_G 1.1719 | D(real) +0.578 | D(fake) -0.307
step 9990 | loss_D 0.8386 | loss_G 1.1764 | D(real) +2.131 | D(fake) -0.412
step 10000 | loss_D 1.0524 | loss_G 1.1145 | D(real) +0.174 | D(fake) -1.021
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_010000.pt
step 10010 | loss_D 1.5499 | loss_G 0.9899 | D(real) -0.646 | D(fake) -0.572
step 10020 | loss_D 0.8905 | loss_G 1.0475 | D(real) +1.783 | D(fake) -0.348
step 10030 | loss_D 0.8396 | loss_G 1.3374 | D(real) +1.132 | D(fake) -0.552
step 10040 | loss_D 1.3041 | loss_G 0.5975 | D(real) +0.183 | D(fake) -0.106
step 10050 | loss_D 0.8981 | loss_G 0.8590 | D(real) +1.139 | D(fake) -0.292
step 10060 | loss_D 1.1172 | loss_G 1.1104 | D(real) +0.285 | D(fake) -0.507
step 10070 | loss_D 0.7542 | loss_G 1.4783 | D(real) +1.213 | D(fake) -0.629
step 10080 | loss_D 0.6852 | loss_G 2.3585 | D(real) +0.979 | D(fake) -1.071
step 10090 | loss_D 1.1821 | loss_G 1.3619 | D(real) +0.156 | D(fake) -0.309
step 10100 | loss_D 1.1454 | loss_G 1.3130 | D(real) +1.227 | D(fake) -0.218
step 10110 | loss_D 0.9128 | loss_G 1.4639 | D(real) +0.670 | D(fake) -0.744
step 10120 | loss_D 0.9634 | loss_G 1.3480 | D(real) +2.264 | D(fake) -0.011
step 10130 | loss_D 0.6959 | loss_G 1.3198 | D(real) +2.201 | D(fake) -0.649
step 10140 | loss_D 0.8296 | loss_G 1.1414 | D(real) +0.728 | D(fake) -0.694
step 10150 | loss_D 0.8521 | loss_G 0.9067 | D(real) +1.160 | D(fake) -0.548
step 10160 | loss_D 1.2647 | loss_G 0.8320 | D(real) -0.080 | D(fake) -0.401
step 10170 | loss_D 0.8270 | loss_G 1.1170 | D(real) +0.485 | D(fake) -0.986
step 10180 | loss_D 1.2674 | loss_G 1.2899 | D(real) -0.320 | D(fake) -0.934
step 10190 | loss_D 0.7006 | loss_G 1.1585 | D(real) +0.969 | D(fake) -1.151
step 10200 | loss_D 1.4250 | loss_G 1.2786 | D(real) -0.455 | D(fake) -0.553
step 10210 | loss_D 0.8960 | loss_G 1.1289 | D(real) +0.626 | D(fake) -0.828
step 10220 | loss_D 0.7850 | loss_G 0.9896 | D(real) +1.147 | D(fake) -0.558
step 10230 | loss_D 0.7894 | loss_G 1.3766 | D(real) +1.807 | D(fake) -0.542
step 10240 | loss_D 0.8125 | loss_G 1.1696 | D(real) +1.428 | D(fake) -0.901
step 10250 | loss_D 0.7009 | loss_G 1.2653 | D(real) +1.120 | D(fake) -0.736
step 10260 | loss_D 0.8410 | loss_G 0.9708 | D(real) +0.569 | D(fake) -1.001
step 10270 | loss_D 0.9942 | loss_G 1.3369 | D(real) +1.806 | D(fake) -0.420
step 10280 | loss_D 1.2912 | loss_G 1.2401 | D(real) +1.507 | D(fake) -0.089
step 10290 | loss_D 1.0605 | loss_G 1.1273 | D(real) +0.233 | D(fake) -0.544
step 10300 | loss_D 1.1205 | loss_G 1.2169 | D(real) +0.627 | D(fake) -0.693
step 10310 | loss_D 1.2685 | loss_G 0.7716 | D(real) -0.288 | D(fake) -0.670
step 10320 | loss_D 0.5207 | loss_G 1.4992 | D(real) +1.723 | D(fake) -1.021
step 10330 | loss_D 0.9692 | loss_G 1.3867 | D(real) +0.461 | D(fake) -1.103
step 10340 | loss_D 0.9044 | loss_G 1.3081 | D(real) +0.942 | D(fake) -0.750
step 10350 | loss_D 0.8934 | loss_G 1.3013 | D(real) +1.469 | D(fake) -0.183
step 10360 | loss_D 0.9050 | loss_G 1.1249 | D(real) +0.959 | D(fake) -0.984
step 10370 | loss_D 1.6636 | loss_G 1.8527 | D(real) -0.809 | D(fake) -1.441
step 10380 | loss_D 1.1113 | loss_G 1.1736 | D(real) +1.324 | D(fake) +0.048
step 10390 | loss_D 1.5502 | loss_G 0.7823 | D(real) -0.578 | D(fake) -1.350
step 10400 | loss_D 0.8529 | loss_G 1.3068 | D(real) +2.744 | D(fake) -0.358
step 10410 | loss_D 1.5637 | loss_G 1.0222 | D(real) -0.162 | D(fake) -0.432
step 10420 | loss_D 1.3029 | loss_G 0.7963 | D(real) -0.070 | D(fake) -0.289
step 10430 | loss_D 1.3262 | loss_G 0.8857 | D(real) -0.053 | D(fake) -0.413
step 10440 | loss_D 0.9474 | loss_G 1.0128 | D(real) +0.465 | D(fake) -0.549
step 10450 | loss_D 1.3180 | loss_G 0.8052 | D(real) +0.340 | D(fake) +0.035
step 10460 | loss_D 0.5163 | loss_G 1.5430 | D(real) +1.577 | D(fake) -1.121
step 10470 | loss_D 0.9126 | loss_G 1.0467 | D(real) +1.646 | D(fake) -0.341
step 10480 | loss_D 0.7198 | loss_G 1.1536 | D(real) +1.223 | D(fake) -0.745
step 10490 | loss_D 0.8374 | loss_G 1.5057 | D(real) +0.657 | D(fake) -1.125
step 10500 | loss_D 1.2487 | loss_G 1.0730 | D(real) +0.710 | D(fake) -0.039
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_010500.pt
step 10510 | loss_D 1.5763 | loss_G 0.9230 | D(real) +0.026 | D(fake) +0.148
step 10520 | loss_D 0.5940 | loss_G 1.1300 | D(real) +1.936 | D(fake) -0.820
step 10530 | loss_D 0.7265 | loss_G 1.7458 | D(real) +0.828 | D(fake) -0.908
step 10540 | loss_D 1.0209 | loss_G 1.2552 | D(real) +1.153 | D(fake) -0.002
step 10550 | loss_D 1.0886 | loss_G 0.6952 | D(real) +0.072 | D(fake) -0.854
step 10560 | loss_D 1.0441 | loss_G 1.1046 | D(real) +1.000 | D(fake) -0.051
step 10570 | loss_D 1.1730 | loss_G 0.7335 | D(real) +0.637 | D(fake) -0.171
step 10580 | loss_D 0.8396 | loss_G 1.1494 | D(real) +1.034 | D(fake) -0.688
step 10590 | loss_D 0.9758 | loss_G 1.1535 | D(real) +0.458 | D(fake) -0.931
step 10600 | loss_D 0.6266 | loss_G 1.4476 | D(real) +0.735 | D(fake) -1.476
step 10610 | loss_D 1.1658 | loss_G 1.0578 | D(real) +0.213 | D(fake) -0.656
step 10620 | loss_D 1.1340 | loss_G 1.0432 | D(real) +0.751 | D(fake) -0.236
step 10630 | loss_D 0.7759 | loss_G 0.9147 | D(real) +1.069 | D(fake) -0.802
step 10640 | loss_D 1.1151 | loss_G 0.9469 | D(real) +0.087 | D(fake) -0.799
step 10650 | loss_D 1.0797 | loss_G 0.9780 | D(real) +0.172 | D(fake) -0.543
step 10660 | loss_D 0.7913 | loss_G 1.3685 | D(real) +1.369 | D(fake) -1.104
step 10670 | loss_D 0.9835 | loss_G 0.8314 | D(real) +0.220 | D(fake) -0.804
step 10680 | loss_D 1.0243 | loss_G 1.4700 | D(real) -0.003 | D(fake) -1.167
step 10690 | loss_D 1.0237 | loss_G 1.4485 | D(real) +0.646 | D(fake) -0.357
step 10700 | loss_D 0.9201 | loss_G 1.3691 | D(real) +0.704 | D(fake) -0.558
step 10710 | loss_D 1.2783 | loss_G 1.1482 | D(real) +0.566 | D(fake) -0.062
step 10720 | loss_D 0.6380 | loss_G 1.2766 | D(real) +1.302 | D(fake) -0.804
step 10730 | loss_D 1.4519 | loss_G 0.7350 | D(real) -0.483 | D(fake) -0.711
step 10740 | loss_D 0.9284 | loss_G 0.9145 | D(real) +0.375 | D(fake) -0.735
step 10750 | loss_D 0.8948 | loss_G 1.3326 | D(real) +1.117 | D(fake) -0.370
step 10760 | loss_D 0.9286 | loss_G 0.8883 | D(real) +2.324 | D(fake) +0.088
step 10770 | loss_D 0.8053 | loss_G 1.1308 | D(real) +0.353 | D(fake) -1.491
step 10780 | loss_D 0.8883 | loss_G 1.0967 | D(real) +0.935 | D(fake) -0.351
step 10790 | loss_D 1.0749 | loss_G 1.8761 | D(real) +1.743 | D(fake) +0.217
step 10800 | loss_D 0.8756 | loss_G 1.4180 | D(real) +1.729 | D(fake) -0.456
step 10810 | loss_D 0.9037 | loss_G 1.0618 | D(real) +0.910 | D(fake) -0.342
step 10820 | loss_D 0.9134 | loss_G 1.0352 | D(real) +1.209 | D(fake) -0.490
step 10830 | loss_D 0.8993 | loss_G 1.3474 | D(real) +0.480 | D(fake) -0.883
step 10840 | loss_D 0.9881 | loss_G 1.2358 | D(real) +0.764 | D(fake) -0.401
step 10850 | loss_D 1.4912 | loss_G 0.7615 | D(real) -0.517 | D(fake) -0.508
step 10860 | loss_D 1.0218 | loss_G 1.0887 | D(real) +0.635 | D(fake) -0.383
step 10870 | loss_D 1.1151 | loss_G 1.1505 | D(real) +0.158 | D(fake) -1.198
step 10880 | loss_D 0.6809 | loss_G 1.5424 | D(real) +1.177 | D(fake) -1.379
step 10890 | loss_D 0.9303 | loss_G 1.2909 | D(real) +0.598 | D(fake) -1.035
